,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,Matt ChapmanM. Chapman,42,2025,SFG,88,317,52,73,14,2,16,50,5,92,7,2,372,139,32,0,0,0,6,.230,.344,.438,.783,53,9.2,.344,124,10.5,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Andrew McCutchenA. McCutchen,39,2025,PIT,97,354,37,87,15,0,11,40,2,88,1,1,399,135,26,0,3,1,6,.246,.323,.381,.705,46,-0.8,.311,96,-1.8,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Ke'Bryan HayesK. Hayes,36,2025,PIT,100,369,34,87,10,2,2,18,4,81,10,2,392,107,14,1,0,1,8,.236,.279,.290,.569,27,-18.9,.254,57,-19.8,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Patrick BaileyP. Bailey,31,2025,SFG,89,268,28,56,14,2,2,21,2,89,0,0,300,80,18,4,5,0,4,.209,.267,.299,.565,20,-15,.252,60,-14,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Isiah Kiner-FalefaI. Kiner-Falefa,29,2025,PIT,96,322,32,88,14,2,1,15,4,57,13,3,345,109,17,3,1,0,6,.273,.313,.339,.651,34,-6.8,.289,81,-7.6,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Tommy PhamT. Pham,29,2025,PIT,78,250,28,68,12,1,4,27,1,63,3,1,281,94,17,0,3,2,8,.272,.342,.376,.718,33,0.4,.315,99,-0.3,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Mike YastrzemskiM. Yastrzemski,28,2025,SFG,96,321,38,74,14,1,8,47,1,86,6,2,372,114,23,2,1,4,4,.231,.330,.355,.685,41,-3,.304,96,-1.7,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Spencer HorwitzS. Horwitz,25,2025,PIT,60,211,25,53,13,0,3,23,1,51,0,0,236,75,16,0,1,1,5,.251,.326,.355,.682,26,-2.1,.303,91,-2.6,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Adam FrazierA. Frazier,21,2025,PIT,78,235,22,60,10,0,3,17,6,45,7,5,262,79,13,1,3,2,8,.255,.318,.336,.654,26,-5.1,.290,81,-5.7,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Casey SchmittC. Schmitt,21,2025,SFG,53,166,18,42,8,0,6,15,3,43,0,0,185,68,14,1,0,0,4,.253,.326,.410,.736,23,1.6,.324,110,2.2,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Rafael DeversR. Devers,19,2025,SFG,40,150,16,35,9,0,5,23,1,56,0,0,176,59,14,0,2,1,5,.233,.335,.393,.729,22,1,.320,108,1.6,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Dominic SmithD. Smith,17,2025,SFG,36,108,13,29,6,0,3,11,2,22,2,0,123,44,9,0,2,0,3,.269,.341,.407,.749,16,1.5,.329,113,1.9,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Joey BartJ. Bart,17,2025,PIT,65,206,15,50,7,1,1,32,4,65,1,0,242,62,9,0,0,0,11,.243,.355,.301,.656,27,-1.7,.305,92,-2.3,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Nick GonzalesN. Gonzales,16,2025,PIT,48,188,21,49,7,2,5,14,1,35,0,1,204,75,14,0,1,0,5,.261,.314,.399,.713,24,-0.3,.312,97,-0.8,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,LaMonte Wade Jr.L. Wade Jr.,15,2025,SFG,50,144,12,24,8,2,1,21,1,35,0,0,169,39,11,2,1,1,2,.167,.275,.271,.546,11,-8.8,.249,59,-8.2,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Tyler FitzgeraldT. Fitzgerald,13,2025,SFG,63,198,18,45,10,1,3,15,2,62,9,4,222,66,14,6,1,0,3,.227,.287,.333,.620,19,-6.8,.276,77,-6,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Alexander CanarioA. Canario,13,2025,PIT,57,158,19,33,5,1,3,16,0,56,2,1,174,49,9,0,0,0,3,.209,.282,.310,.592,14,-6.7,.266,65,-7.1,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Henry DavisH. Davis,13,2025,PIT,55,158,17,27,5,0,4,15,3,44,0,1,179,44,9,2,1,0,0,.171,.254,.278,.533,11,-10.3,.243,49,-10.7,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Luis MatosL. Matos,13,2025,SFG,40,114,13,19,6,0,5,6,0,19,2,0,120,40,11,0,0,0,5,.167,.208,.351,.559,7,-7,.242,53,-6.5,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RBI,"['Giants', 'Pirates']",24471b1c-663e-80b0-8d24-d70098dae076,MLB
,Kyle SchwarberK. Schwarber,87,2025,PHI,110,407,76,102,16,1,37,74,8,131,10,2,489,231,54,0,0,5,1,.251,.376,.568,.944,91,34,.400,159,34,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Nick CastellanosN. Castellanos,60,2025,PHI,108,414,53,111,23,1,15,23,3,93,4,0,444,181,39,0,4,0,9,.268,.309,.437,.746,55,3,.322,106,3,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Cedric MullinsC. Mullins,49,2025,BAL,91,314,42,72,19,0,15,34,2,85,14,4,355,136,34,1,4,0,2,.229,.305,.433,.738,43,1.8,.320,106,2.6,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Bryce HarperB. Harper,47,2025,PHI,82,308,50,83,24,0,16,49,4,73,10,0,363,155,40,0,2,3,3,.269,.375,.503,.878,61,18.6,.377,144,18.5,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Ramón LaureanoR. Laureano,46,2025,BAL,82,259,45,75,17,0,15,22,6,72,4,3,290,137,32,0,3,1,6,.290,.355,.529,.884,49,14.9,.377,146,15.5,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Gunnar HendersonG. Henderson,46,2025,BAL,104,393,63,112,25,4,13,40,3,97,14,3,437,184,42,0,1,4,7,.285,.355,.468,.823,66,14.3,.354,130,15.4,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Trea TurnerT. Turner,45,2025,PHI,108,448,72,128,23,3,11,33,4,83,25,6,487,190,37,0,2,1,8,.286,.339,.424,.763,65,7.5,.333,113,7.5,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Ryan O'HearnR. O'Hearn,43,2025,BAL,94,311,45,88,15,1,13,42,5,63,3,1,361,144,29,0,3,3,10,.283,.374,.463,.837,57,14.3,.363,136,15.2,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Bryson StottB. Stott,43,2025,PHI,99,346,43,81,12,2,7,38,1,66,17,3,390,118,21,2,3,0,3,.234,.309,.341,.650,38,-7.3,.290,84,-7.3,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Jackson HollidayJ. Holliday,43,2025,BAL,103,409,48,106,15,2,14,24,5,102,11,8,439,167,31,0,1,0,3,.259,.308,.408,.716,51,-0.3,.313,101,0.7,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Alec BohmA. Bohm,42,2025,PHI,92,353,39,98,12,2,8,22,4,62,2,0,383,138,22,0,4,0,13,.278,.324,.391,.715,45,-0.1,.313,100,-0.1,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,J.T. Realmuto,39,2025,PHI,91,349,40,94,20,1,7,24,2,91,6,2,375,137,28,0,0,1,11,.269,.320,.393,.713,44,-0.4,.312,99,-0.4,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Ramón UríasR. Urías,34,2025,BAL,77,258,27,64,12,0,8,21,2,60,2,0,290,100,20,0,9,0,5,.248,.300,.388,.688,30,-3.7,.298,91,-3,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Max KeplerM. Kepler,33,2025,PHI,95,307,40,62,14,0,11,39,3,69,1,0,353,109,25,1,3,3,8,.202,.295,.355,.651,34,-7.8,.286,81,-7.8,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Jordan WestburgJ. Westburg,27,2025,BAL,59,232,45,63,9,1,12,11,4,56,1,2,247,110,22,0,0,0,4,.272,.316,.474,.790,34,5.5,.341,121,6,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Edmundo SosaE. Sosa,25,2025,PHI,59,158,17,42,9,1,4,8,2,38,1,0,170,65,14,1,1,0,3,.266,.308,.411,.719,20,-0.1,.313,99,-0.1,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Adley RutschmanA. Rutschman,25,2025,BAL,73,262,33,61,14,1,8,33,1,47,0,0,298,101,23,0,2,0,7,.233,.319,.385,.704,34,-0.6,.311,100,0.1,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Gary SánchezG. Sánchez,24,2025,BAL,29,91,13,21,2,0,5,4,5,27,0,0,101,38,7,0,1,0,2,.231,.297,.418,.715,12,-0.1,.312,101,0.1,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Brandon MarshB. Marsh,24,2025,PHI,88,240,36,63,12,1,5,27,0,67,5,1,273,92,18,3,3,0,1,.263,.333,.383,.717,33,0.6,.316,102,0.6,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Tyler O'NeillT. O'Neill,21,2025,BAL,41,138,19,29,6,1,7,15,3,39,2,0,159,58,14,0,3,1,2,.210,.296,.420,.716,18,-0.8,.308,98,-0.4,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Colton CowserC. Cowser,21,2025,BAL,52,183,22,39,8,0,9,13,5,62,6,0,201,74,17,0,0,0,3,.213,.284,.404,.688,22,-2,.301,93,-1.5,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Heston KjerstadH. Kjerstad,19,2025,BAL,54,156,16,30,5,2,4,6,4,45,1,0,167,51,11,0,1,0,9,.192,.240,.327,.566,11,-8.8,.249,57,-8.4,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Johan RojasJ. Rojas,18,2025,PHI,71,152,23,34,3,2,1,13,0,40,12,2,172,44,6,4,3,0,2,.224,.280,.289,.569,12,-8.2,.255,59,-8.2,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Otto KempO. Kemp,17,2025,PHI,40,129,16,31,7,0,4,6,6,41,1,2,142,50,11,0,1,0,2,.240,.303,.388,.690,16,-1.1,.304,93,-1.1,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Ryan MountcastleR. Mountcastle,15,2025,BAL,52,187,19,46,13,0,2,8,2,46,1,0,200,65,15,0,3,0,6,.246,.280,.348,.628,17,-6.4,.274,75,-5.9,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,RBI,"['Orioles', 'Phillies']",24471b1c-663e-8007-b449-e7d7363745e7,MLB
,Pete AlonsoP. Alonso,86,2025,NYM,112,416,57,108,27,1,24,50,12,112,1,2,484,209,52,0,6,4,17,.260,.351,.502,.854,76,19.7,.364,139,21.9,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Francisco LindorF. Lindor,64,2025,NYM,110,446,71,112,21,0,21,36,11,95,17,2,499,196,42,0,6,2,5,.251,.319,.439,.758,64,5.6,.328,114,7.9,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Brandon NimmoB. Nimmo,63,2025,NYM,108,407,56,106,21,0,19,34,7,93,12,1,451,184,40,0,3,1,5,.260,.326,.452,.778,61,8.5,.337,120,10.6,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Juan SotoJ. Soto,63,2025,NYM,110,392,75,97,16,0,25,84,2,92,16,1,483,188,41,1,4,10,15,.247,.380,.480,.859,78,21.1,.368,141,23.3,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,José RamírezJ. Ramírez,61,2025,CLE,108,407,71,123,21,2,23,46,6,47,32,7,464,217,46,0,5,16,3,.302,.377,.533,.910,79,24.6,.379,146,25.1,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Kyle ManzardoK. Manzardo,48,2025,CLE,95,311,30,73,13,2,18,33,3,90,1,0,351,144,33,0,4,1,5,.235,.311,.463,.774,46,5.1,.332,113,5.5,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Carlos SantanaC. Santana,46,2025,CLE,103,361,44,83,8,0,11,47,3,77,6,0,415,124,19,0,4,1,7,.230,.320,.343,.664,43,-5.4,.298,90,-4.9,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Steven KwanS. Kwan,38,2025,CLE,105,416,54,117,20,1,9,40,3,40,11,2,466,166,30,1,6,1,2,.281,.344,.399,.743,59,4.7,.326,110,5.2,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Angel MartínezA. Martínez,38,2025,CLE,94,323,41,77,19,1,9,13,3,78,6,2,346,125,29,3,4,0,7,.238,.271,.387,.658,32,-8.2,.284,81,-7.8,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Brett BatyB. Baty,34,2025,NYM,89,263,32,60,9,2,11,23,1,71,5,0,290,106,22,0,3,0,5,.228,.290,.403,.693,31,-3,.301,95,-1.6,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Gabriel AriasG. Arias,34,2025,CLE,85,284,29,67,19,0,7,20,5,96,4,3,312,107,26,1,2,0,6,.236,.296,.377,.673,32,-4.5,.296,89,-4.2,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Jeff McNeilJ. McNeil,33,2025,NYM,76,238,25,60,11,4,9,34,5,27,2,0,281,106,24,1,3,4,4,.252,.354,.445,.799,40,6.8,.344,125,8.1,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Mark VientosM. Vientos,31,2025,NYM,78,276,24,65,13,2,7,18,2,72,0,0,298,103,22,0,2,0,7,.236,.285,.373,.658,29,-6.2,.288,86,-4.8,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Daniel SchneemannD. Schneemann,29,2025,CLE,90,257,36,60,14,0,10,31,1,70,8,2,291,104,24,1,1,1,4,.233,.317,.405,.722,35,0.6,.316,103,1,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Nolan JonesN. Jones,28,2025,CLE,100,268,25,58,11,2,3,35,4,82,7,3,311,82,16,1,3,1,5,.216,.313,.306,.619,28,-8.3,.281,78,-7.9,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Bo NaylorB. Naylor,27,2025,CLE,84,248,35,45,14,1,11,36,1,73,1,2,289,94,26,1,3,0,4,.181,.285,.379,.664,29,-5,.292,86,-4.7,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Brayan RocchioB. Rocchio,25,2025,CLE,64,179,17,40,13,1,1,10,5,39,2,4,202,58,15,4,4,0,3,.223,.278,.324,.602,16,-7.8,.266,68,-7.6,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Starling MarteS. Marte,21,2025,NYM,64,181,23,50,10,0,4,16,8,37,5,2,209,72,14,1,3,0,3,.276,.356,.398,.754,28,3.4,.334,118,4.4,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Tyrone TaylorT. Taylor,18,2025,NYM,98,272,27,54,13,3,2,13,8,69,11,1,297,79,18,2,2,1,4,.199,.254,.290,.545,18,-17.2,.242,55,-15.8,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Luis TorrensL. Torrens,16,2025,NYM,70,198,10,43,10,1,2,18,1,50,0,0,217,61,13,0,0,0,5,.217,.286,.308,.594,17,-8.1,.267,72,-7.1,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Francisco AlvarezF. Alvarez,15,2025,NYM,44,151,17,38,6,1,4,19,2,45,0,0,172,58,11,0,0,0,4,.252,.343,.384,.727,22,1.5,.324,111,2.3,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,David FryD. Fry,13,2025,CLE,39,87,10,15,2,0,5,6,1,36,1,0,94,32,7,0,0,0,2,.172,.234,.368,.602,7,-3.9,.263,66,-3.7,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Lane ThomasL. Thomas,11,2025,CLE,39,125,10,20,2,0,4,14,1,44,4,1,142,34,6,0,2,0,4,.160,.246,.272,.518,8,-8.9,.236,47,-8.7,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Jesse WinkerJ. Winker,10,2025,NYM,26,70,8,16,5,2,1,9,0,21,1,0,81,28,8,0,2,1,1,.229,.309,.400,.709,9,-0.8,.302,96,-0.4,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Jhonkensy NoelJ. Noel,9,2025,CLE,49,107,12,15,2,0,2,3,0,35,0,0,111,23,4,0,1,0,4,.140,.162,.215,.377,0,-13.2,.166,-1,-13.1,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,RBI,"['Guardians', 'Mets']",24471b1c-663e-801e-9b30-c5708ed7fdc6,MLB
,Trevor StoryT. Story,69,2025,BOS,109,418,59,107,19,0,18,22,4,127,18,0,446,180,37,1,1,0,2,.256,.299,.431,.729,53,1,.316,96,-2.2,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Salvador PerezS. Perez,66,2025,KCR,107,414,35,106,27,0,20,19,7,88,0,0,441,193,47,0,1,4,11,.256,.299,.466,.766,56,4.5,.326,104,1.9,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Vinnie PasquantinoV. Pasquantino,66,2025,KCR,110,424,44,112,18,1,18,36,5,75,1,0,467,186,37,0,2,3,6,.264,.328,.439,.766,61,6.8,.332,107,4,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Bobby Witt Jr.B. Witt Jr.,63,2025,KCR,111,438,69,125,37,3,16,36,3,95,29,7,483,216,56,0,6,6,3,.285,.340,.493,.833,72,15,.352,122,12.2,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Jarren DuranJ. Duran,60,2025,BOS,110,446,62,117,30,12,11,38,7,122,18,5,494,204,53,1,2,0,4,.262,.329,.457,.786,68,10.3,.339,112,6.8,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Wilyer AbreuW. Abreu,59,2025,BOS,96,310,46,76,13,0,20,32,0,84,6,3,346,149,33,1,3,4,8,.245,.313,.481,.794,47,6.4,.336,110,3.9,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Rafael DeversR. Devers,58,2025,BOS,73,272,47,74,18,0,15,56,4,76,1,1,334,137,33,0,2,7,7,.272,.401,.504,.905,59,19.7,.387,144,17.3,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Ceddanne RafaelaC. Rafaela,50,2025,BOS,107,374,61,100,23,3,14,17,5,75,14,3,401,171,40,3,2,0,3,.267,.307,.457,.764,52,4.9,.329,104,2,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Maikel GarciaM. Garcia,48,2025,KCR,110,408,50,121,28,5,10,37,1,57,20,9,453,189,43,3,4,0,9,.297,.353,.463,.817,68,14.5,.353,122,11.8,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Alex BregmanA. Bregman,44,2025,BOS,67,256,39,75,20,0,14,24,6,49,1,1,287,137,34,0,1,1,4,.293,.366,.535,.901,50,16.7,.386,144,14.7,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Romy GonzálezR. González,36,2025,BOS,56,175,31,51,16,3,8,11,2,49,4,2,191,97,27,0,3,1,2,.291,.335,.554,.889,32,9.1,.373,135,7.8,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
,Carlos NarváezC. Narváez,33,2025,BOS,84,294,41,74,21,0,9,32,0,81,1,1,329,122,30,1,2,0,8,.252,.323,.415,.738,41,2.4,.323,100,0.1,6,RBI,"['Royals', 'Red Sox']",24471b1c-663e-8022-a7b5-ddd09f9bd355,MLB
