PLAYER,TEAM,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Monique Akoa-Makani,PHO,G,20,416,20,20,20.8,3.0,6.6,.455,1.3,3.0,.424,1.8,3.7,.479,1.3,1.3,1.000,0.7,2.1,2.7,1.0,0.1,1.4,2.7,8.6
Julie Allemand,LAS,G,11,235,11,4,21.4,1.4,3.3,.417,0.9,2.5,.357,0.5,0.7,.625,0.4,0.4,1.000,0.5,2.8,3.1,0.8,0.0,1.6,1.6,4.0
Lindsay Allen,CON,G,14,201,14,3,14.4,0.8,2.3,.344,0.1,0.6,.111,0.7,1.6,.435,0.5,0.6,.778,0.0,0.7,2.2,0.2,0.2,1.0,1.3,2.1
Rebecca Allen,CHI,F-G,19,383,19,9,20.2,2.4,6.3,.378,1.1,3.4,.328,1.3,2.9,.436,0.5,0.8,.625,0.5,3.4,1.4,0.5,0.7,1.2,1.3,6.4
Laeticia Amihere,GSV,F,9,155,9,0,17.2,2.9,5.1,.565,0.0,0.4,.000,2.9,4.7,.619,1.8,2.6,.696,1.6,6.2,1.8,0.4,0.9,2.0,2.2,7.6
Ariel Atkins,CHI,G,19,573,19,19,30.2,4.7,11.4,.412,1.4,4.0,.355,3.3,7.4,.443,3.1,3.6,.853,0.6,3.3,3.7,1.9,0.9,2.5,3.3,13.8
Shakira Austin,WAS,C-F,17,360,17,9,21.2,4.8,10.1,.474,0.0,0.3,.000,4.8,9.8,.488,2.8,4.3,.658,1.9,6.5,1.6,0.9,0.9,2.3,2.4,12.4
Marième Badiane,MIN,C,3,11,3,0,3.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,0.0,0.0,,0.3,0.3,0.0,0.7,0.0,0.7,2.0,0.0
Rachel Banham,CHI,G,19,385,19,8,20.3,2.4,6.2,.390,1.8,4.8,.380,0.6,1.4,.423,1.0,1.1,.950,0.2,1.1,2.2,0.5,0.1,0.9,1.8,7.7
Sarah Ashlee Barker,LAS,G,19,357,19,7,18.8,1.3,3.9,.320,0.8,2.5,.319,0.5,1.5,.321,0.7,0.9,.778,0.4,2.6,1.1,0.5,0.2,1.7,2.0,4.1
Kierstan Bell,LVA,F,15,140,15,0,9.3,1.2,3.6,.333,0.7,2.5,.297,0.5,1.1,.412,0.4,0.4,1.000,0.4,1.5,0.2,0.3,0.3,0.3,0.5,3.5
Grace Berger,LAS,G,1,16,1,0,16.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0
Chloe Bibby,GSV,F,5,66,5,0,13.2,2.2,5.4,.407,1.6,3.8,.421,0.6,1.6,.375,0.4,0.4,1.000,0.6,2.8,0.6,0.6,0.0,0.0,1.2,6.4
Monique Billings,GSV,F,17,330,17,7,19.4,3.2,6.5,.500,0.4,1.5,.269,2.8,4.9,.571,1.3,2.1,.611,1.5,5.1,0.5,0.7,0.9,0.9,1.8,8.2
Aliyah Boston,IND,F-C,20,598,20,20,29.9,6.7,11.5,.581,0.2,0.7,.286,6.5,10.8,.600,2.7,3.4,.779,2.4,8.1,3.7,0.8,1.1,1.5,3.5,16.2
Crystal Bradford,LVA,F,4,24,4,0,6.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,0.0,0.0,,0.5,1.3,0.3,0.5,0.0,0.3,0.8,1.0
Kalani Brown,PHO,C,18,248,18,0,13.8,2.2,3.4,.629,0.1,0.3,.333,2.1,3.1,.661,0.9,1.1,.800,1.3,3.9,0.7,0.3,0.6,1.1,1.9,5.3
Lexie Brown,SEA,G,13,91,13,0,7.0,0.2,1.2,.133,0.2,1.1,.143,0.0,0.1,.000,0.5,0.6,.750,0.0,0.5,0.4,0.3,0.0,0.2,0.8,0.9
Paige Bueckers,DAL,G,16,556,16,16,34.8,6.6,14.7,.447,1.1,3.3,.327,5.5,11.4,.481,3.9,4.5,.875,0.7,4.1,5.4,1.7,0.8,2.2,2.8,18.1
Kennedy Burke,NYL,G-F,19,440,19,6,23.2,3.2,6.3,.500,1.8,3.7,.486,1.4,2.6,.520,1.2,1.6,.733,0.7,2.5,1.1,1.3,0.7,1.1,1.5,9.3
Rae Burrell,LAS,G-F,4,33,4,0,8.3,1.0,2.5,.400,0.3,0.5,.500,0.8,2.0,.375,0.0,0.0,,0.3,1.5,0.0,0.0,0.0,0.5,1.0,2.3
Veronica Burton,GSV,G,19,546,19,19,28.7,2.9,8.5,.346,1.3,3.8,.342,1.6,4.7,.348,3.6,4.3,.852,1.2,4.0,5.3,1.2,0.5,1.9,2.3,10.8
Maya Caldwell,ATL,G,18,211,18,3,11.7,1.2,3.7,.333,0.4,1.9,.206,0.8,1.8,.469,0.1,0.2,.500,0.7,1.8,1.0,0.6,0.2,0.8,1.3,2.9
Jordin Canada,ATL,G,13,347,13,13,26.7,3.8,9.3,.405,0.9,3.1,.300,2.8,6.2,.457,2.1,2.9,.711,0.3,3.5,5.1,1.8,0.2,1.8,1.7,10.5
Emma Cannon,LAS,F,18,198,18,0,11.0,1.7,3.2,.534,0.8,1.8,.438,0.9,1.4,.654,0.8,1.2,.667,0.6,1.9,0.4,0.5,0.1,0.7,2.0,5.0
Kamilla Cardoso,CHI,C,15,346,15,14,23.1,5.2,9.3,.561,0.1,0.1,1.000,5.1,9.2,.558,2.0,2.9,.682,2.9,6.5,1.9,0.3,0.9,2.1,3.0,12.5
Bridget Carleton,MIN,F,21,622,21,21,29.6,2.5,6.1,.406,1.3,3.9,.329,1.2,2.2,.543,0.3,0.4,.750,0.9,3.4,2.7,1.0,0.2,0.9,2.1,6.5
Kaila Charles,DAL,G-F,17,269,17,4,15.8,1.7,4.7,.363,0.6,1.8,.333,1.1,2.9,.380,1.3,1.6,.815,1.5,4.0,1.1,0.5,0.2,0.9,1.9,5.3
Tina Charles,CON,C,20,564,20,19,28.2,5.7,14.0,.407,0.2,0.9,.222,5.5,13.1,.420,4.1,4.7,.882,1.5,5.3,1.5,0.8,0.4,2.4,1.9,15.7
Kaitlyn Chen,GSV,G,7,110,7,0,15.7,1.6,2.7,.579,0.4,0.7,.600,1.1,2.0,.571,0.6,0.9,.667,0.4,1.4,1.4,0.4,0.0,1.0,0.7,4.1
Sonia Citron,WAS,G,20,669,20,20,33.5,4.8,10.6,.455,1.6,4.4,.368,3.2,6.2,.516,3.1,3.5,.884,0.8,5.1,2.0,1.1,0.3,1.7,2.1,14.3
Alysha Clark,SEA,F,20,390,20,7,19.5,1.5,3.8,.400,0.8,2.3,.348,0.7,1.5,.483,0.6,0.7,.846,0.4,2.4,0.9,0.8,0.1,0.7,2.0,4.4
Caitlin Clark,IND,G,11,351,11,11,31.9,5.8,15.5,.376,2.4,8.2,.289,3.5,7.3,.475,2.9,3.6,.800,0.1,4.9,8.6,1.4,0.5,5.4,2.9,16.9
Nia Coffey,ATL,F,20,231,20,2,11.6,1.4,3.8,.360,0.8,2.4,.313,0.6,1.4,.444,1.0,1.4,.679,0.7,3.0,1.2,0.3,0.4,0.9,1.3,4.4
Napheesa Collier,MIN,F,18,602,18,18,33.4,8.8,16.8,.521,1.2,3.8,.309,7.6,13.1,.583,4.8,5.0,.956,2.3,7.9,3.3,1.6,1.6,2.4,2.4,23.5
Sydney Colson,IND,G,19,272,19,6,14.3,1.0,2.5,.396,0.5,1.5,.310,0.5,1.0,.526,0.3,0.4,.857,0.3,0.9,2.2,0.5,0.3,1.1,1.2,2.8
Zia Cooke,SEA,G,20,215,20,0,10.8,1.1,3.5,.319,0.5,1.5,.333,0.6,2.0,.308,0.5,0.8,.600,0.3,0.6,0.6,0.5,0.1,0.8,1.1,3.2
Sophie Cunningham,IND,G,15,341,15,0,22.7,1.7,4.7,.357,1.1,3.2,.354,0.5,1.5,.364,1.3,1.5,.909,0.6,4.1,0.8,0.9,0.1,1.1,2.3,5.8
Damiris Dantas,IND,C-F,15,190,15,0,12.7,1.6,4.2,.381,0.7,2.3,.314,0.9,1.9,.464,1.1,1.3,.850,0.7,2.6,0.5,0.2,0.2,0.7,2.0,5.1
Marquesha Davis,NYL,G,9,31,9,0,3.4,0.1,0.4,.250,0.0,0.3,.000,0.1,0.1,1.000,0.7,0.8,.857,0.1,0.6,0.1,0.0,0.1,0.3,0.2,0.9
Kadidja Diaby,CON,C,13,103,13,0,7.9,0.5,1.1,.500,0.0,0.0,,0.5,1.1,.500,0.8,1.1,.786,0.2,1.0,0.4,0.5,0.1,0.9,1.5,1.9
Skylar Diggins,SEA,G,21,682,21,21,32.5,6.1,13.6,.448,1.6,4.0,.405,4.5,9.6,.465,4.4,5.7,.782,0.5,2.3,5.9,1.2,0.7,2.5,2.7,18.2
Stefanie Dolson,WAS,C,20,328,20,11,16.4,1.1,3.5,.300,0.4,2.0,.205,0.7,1.6,.419,0.3,0.3,1.000,0.4,2.3,1.5,0.4,0.3,0.9,2.8,2.8
Aaliyah Edwards,WAS,F,16,234,16,0,14.6,2.2,4.7,.467,0.0,0.4,.000,2.2,4.3,.507,1.4,2.4,.605,1.3,3.6,0.5,0.6,0.3,1.3,1.6,5.8
Emily Engstler,WAS,F,17,180,17,0,10.6,0.9,2.2,.421,0.2,1.1,.222,0.7,1.2,.600,0.4,0.7,.583,1.1,3.4,1.2,0.5,0.5,0.9,1.2,2.5
Dana Evans,LVA,G,20,342,20,0,17.1,2.3,6.2,.363,0.9,2.4,.354,1.4,3.8,.368,1.1,1.4,.750,0.2,0.8,1.8,0.5,0.1,0.9,1.3,6.4
Temi Fagbenle,GSV,C,14,348,14,13,24.9,3.6,7.0,.520,0.4,1.9,.192,3.3,5.1,.639,1.0,1.5,.667,2.3,5.7,1.9,1.2,0.7,1.9,3.6,8.6
Sania Feagin,LAS,F,6,21,6,0,3.5,0.2,1.3,.125,0.0,0.5,.000,0.2,0.8,.200,0.0,0.3,.000,0.0,0.3,0.2,0.0,0.5,0.7,0.7,0.3
Leonie Fiebich,NYL,F,12,314,12,12,26.2,2.5,4.9,.508,1.4,3.1,.459,1.1,1.8,.591,0.8,1.1,.769,0.8,4.3,0.8,0.8,0.7,1.4,2.5,7.3
Rebekah Gardner,NYL,G,19,267,19,4,14.1,1.6,3.3,.492,0.5,1.2,.409,1.2,2.2,.537,0.6,0.7,.857,0.7,2.0,0.6,0.5,0.3,0.4,1.9,4.4
Luisa Geiselsoder,DAL,C,10,230,10,6,23.0,2.5,5.7,.439,0.6,2.2,.273,1.9,3.5,.543,0.2,0.3,.667,1.2,4.5,1.4,0.7,1.1,1.0,2.1,5.8
Allisha Gray,ATL,G,20,717,20,20,35.9,5.9,13.0,.454,2.4,6.0,.403,3.5,7.1,.496,4.5,5.4,.833,1.0,5.4,4.0,0.9,0.5,1.8,2.8,18.7
Chelsea Gray,LVA,G,20,609,20,20,30.5,4.3,9.7,.438,1.7,4.5,.378,2.6,5.2,.490,2.5,2.8,.893,0.8,4.3,4.3,1.3,0.6,3.4,2.2,12.7
Brittney Griner,ATL,C,18,421,18,18,23.4,3.9,7.9,.500,0.1,0.6,.200,3.8,7.3,.523,2.0,2.6,.783,0.9,5.6,0.8,0.1,1.2,1.7,2.4,10.0
Megan Gustafson,LVA,C,1,22,1,0,22.0,2.0,8.0,.250,0.0,4.0,.000,2.0,4.0,.500,0.0,0.0,,0.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0
Bree Hall,GSV,G,2,8,2,0,4.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,0.5,1.5,.333,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.5
Dearica Hamby,LAS,F,20,648,20,20,32.4,6.5,12.0,.538,0.4,1.5,.267,6.1,10.5,.576,3.5,5.7,.611,2.6,7.6,3.7,1.9,0.6,2.9,2.8,16.8
Bria Hartley,CON,G,20,442,20,14,22.1,2.5,7.6,.331,1.2,3.7,.329,1.3,3.9,.333,1.7,2.1,.829,0.3,2.0,3.0,0.9,0.0,1.8,2.7,7.9
Tiffany Hayes,GSV,G,12,315,12,10,26.3,4.4,10.2,.434,1.7,4.1,.408,2.8,6.1,.452,2.7,3.0,.889,0.6,4.0,2.5,0.5,0.2,2.1,2.1,13.2
Natisha Hiedeman,MIN,G,21,398,21,0,19.0,3.0,6.5,.453,0.7,2.8,.259,2.2,3.8,.595,1.2,1.6,.765,0.1,2.1,3.1,0.5,0.2,1.1,1.7,7.9
Naz Hillmon,ATL,F,20,408,20,0,20.4,2.5,5.2,.485,1.0,2.9,.333,1.6,2.3,.674,1.0,1.3,.769,1.4,4.9,2.0,0.5,0.4,1.1,1.6,7.0
Myisha Hines-Allen,DAL,F,21,453,21,15,21.6,2.7,5.5,.487,0.3,1.1,.304,2.3,4.4,.533,1.2,1.8,.703,1.0,5.1,2.9,0.8,0.5,2.3,2.7,6.9
Joyner Holmes,LVA,F,6,29,6,0,4.8,0.5,2.0,.250,0.2,0.8,.200,0.3,1.2,.286,0.0,0.0,,0.3,1.0,0.0,0.0,0.0,0.3,0.8,1.2
Mackenzie Holmes,SEA,F,4,19,4,0,4.8,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,0.0,0.0,,0.5,1.0,0.3,0.0,0.3,0.0,0.5,1.0
Natasha Howard,IND,F,20,482,20,20,24.1,4.6,8.6,.532,0.2,0.9,.235,4.4,7.7,.565,1.9,2.8,.679,2.0,6.6,1.2,1.0,0.5,2.2,2.9,11.2
Rhyne Howard,ATL,G,19,670,19,19,35.3,5.2,14.9,.349,2.9,9.7,.303,2.3,5.2,.434,3.2,3.9,.800,1.1,5.0,4.5,1.6,0.9,1.9,3.3,16.5
Lexie Hull,IND,G,20,577,20,16,28.9,3.1,6.7,.455,1.3,2.8,.464,1.8,3.9,.449,0.7,1.2,.609,1.5,5.0,1.7,1.1,0.2,0.9,2.9,8.1
Sabrina Ionescu,NYL,G,18,567,18,18,31.5,6.1,15.4,.397,2.6,8.1,.324,3.5,7.3,.477,4.6,4.9,.932,0.8,4.6,5.3,1.6,0.4,2.7,1.3,19.4
Kiki Iriafen,WAS,F,20,538,20,20,26.9,4.5,9.8,.459,0.0,0.1,.000,4.5,9.7,.464,3.2,4.2,.771,2.8,8.4,1.4,0.7,0.2,1.9,3.4,12.2
Rickea Jackson,LAS,F,15,451,15,14,30.1,4.5,11.4,.398,1.1,3.9,.271,3.5,7.5,.464,1.9,2.5,.784,0.6,2.7,1.8,0.7,0.3,2.3,2.0,12.1
Aziaha James,DAL,G,17,347,17,6,20.4,2.9,7.9,.373,1.0,3.2,.315,1.9,4.7,.413,1.6,2.0,.824,0.9,2.8,2.0,0.8,0.3,1.2,1.4,8.5
Moriah Jefferson,CHI,G,3,14,3,0,4.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,0.0,0.0,1.3,0.0,0.0,0.3,0.7,0.0
Marine Johannes,NYL,G,19,352,19,1,18.5,2.4,5.6,.430,1.5,4.5,.341,0.9,1.2,.773,0.3,0.4,.857,0.5,2.4,1.4,0.7,0.2,1.5,1.2,6.7
Brionna Jones,ATL,F,20,590,20,20,29.5,5.3,10.3,.512,0.3,1.4,.214,5.0,8.9,.559,2.8,3.8,.737,3.3,7.8,2.3,1.1,0.5,1.6,2.7,13.6
Elizabeth Kitley,LVA,C,12,98,12,1,8.2,0.6,1.9,.304,0.0,0.1,.000,0.6,1.8,.318,0.1,0.2,.500,0.3,1.4,0.1,0.3,0.5,0.6,1.5,1.3
Sika Koné,WAS,F,10,71,10,0,7.1,0.7,1.7,.412,0.1,0.2,.500,0.6,1.5,.400,0.6,0.7,.857,0.3,1.7,0.5,0.0,0.0,0.6,1.0,2.1
Anastasiia Kosu,MIN,F,9,23,9,0,2.6,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,0.6,0.7,.833,0.4,0.4,0.1,0.0,0.2,0.2,0.1,1.2
Leïla Lacan,CON,G,3,75,3,0,25.0,2.7,7.0,.381,0.3,3.3,.100,2.3,3.7,.636,2.0,2.0,1.000,1.3,3.7,1.7,0.0,0.0,2.3,4.3,7.7
Kitija Laksa,PHO,F,19,443,19,5,23.3,2.9,7.3,.403,1.7,4.8,.359,1.2,2.5,.489,0.7,0.9,.722,0.4,1.4,0.9,0.4,0.2,0.6,1.5,8.3
Carla Leite,GSV,G,13,213,13,3,16.4,2.3,6.0,.385,0.2,2.5,.091,2.1,3.5,.600,1.9,2.2,.862,0.4,1.2,2.0,0.7,0.1,1.5,1.8,6.8
Kyara Linskens,GSV,C,4,27,4,0,6.8,0.5,1.3,.400,0.0,0.3,.000,0.5,1.0,.500,0.0,0.0,,0.3,1.5,0.3,0.3,0.8,0.5,1.8,1.0
Jewell Loyd,LVA,G,20,599,20,20,30.0,3.7,9.8,.379,2.0,5.4,.374,1.7,4.4,.386,1.5,1.7,.853,1.4,4.3,2.2,0.9,0.1,1.4,1.9,10.9
