,NAME,PPG,SEASON,TM,GP,MPG,RPG,APG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Kelsey MitchellK. Mitchell,19.9,2025,IND,28,30.8,1.9,2.8,0.9,0.2,7.3,15.6,46.5,2.4,6.2,38.2,3.0,3.9,76.4,57.3,0.3,1.5,1.4,863,556,52,79,24,5,38,56,+130
,Sabrina IonescuS. Ionescu,19.8,2025,NYL,26,31.5,4.7,5.7,1.5,0.5,6.5,16.1,40.4,2.5,8.0,31.4,4.3,4.7,92.6,54.7,0.8,3.9,2.7,820,516,122,147,39,12,71,39,+116
,Breanna StewartB. Stewart,18.3,2025,NYL,24,31.5,6.5,3.9,1.4,1.4,6.4,13.6,46.9,0.6,2.8,20.6,5.0,6.0,82.8,56.4,1.0,5.6,2.1,756,440,157,93,34,33,51,46,+153
,Caitlin ClarkC. Clark,16.5,2025,IND,13,31.1,5.0,8.8,1.6,0.5,5.5,15.1,36.7,2.2,8.0,27.9,3.2,3.8,82.0,49.1,0.1,4.9,5.1,404,214,65,115,21,7,66,35,+83
,Aliyah BostonA. Boston,15.5,2025,IND,28,30.1,8.2,3.8,0.9,1.0,6.1,11.3,54.4,0.2,0.8,22.7,3.0,3.8,80.2,59.8,2.3,6.0,1.8,844,434,230,107,25,28,50,96,+128
,Jonquel JonesJ. Jones,13.7,2025,NYL,15,25.2,8.9,2.4,0.4,1.1,4.5,10.1,45.0,1.7,3.9,43.1,2.9,3.7,80.0,58.5,1.7,7.3,1.8,378,205,134,36,6,17,27,36,+122
,Natasha HowardN. Howard,11.3,2025,IND,28,24.2,6.9,1.3,1.2,0.5,4.5,8.4,53.8,0.2,0.8,23.8,2.0,3.0,68.7,58.0,2.1,4.8,2.0,677,316,193,36,33,15,55,79,+86
,Natasha CloudN. Cloud,10.1,2025,NYL,26,29.0,3.5,5.9,1.4,0.3,3.5,8.3,42.4,1.2,3.7,33.3,1.8,1.9,92.0,54.8,0.4,3.2,1.7,753,262,92,153,36,9,44,82,+132
,Aari McDonaldA. McDonald,9.9,2025,IND,17,25.8,2.1,4.5,1.4,0.1,3.2,7.4,42.9,1.2,3.7,33.3,2.3,2.8,81.3,57.1,0.4,1.7,2.3,439,168,36,76,23,2,39,41,+46
,Leonie FiebichL. Fiebich,8.8,2025,NYL,20,28.0,4.0,1.4,1.0,0.7,3.1,5.9,51.7,1.4,3.3,43.1,1.3,1.5,86.2,66.9,0.6,3.5,1.5,560,175,80,27,19,13,29,50,+131
,Kennedy BurkeK. Burke,8.4,2025,NYL,24,21.8,2.3,1.2,1.1,0.6,2.9,5.9,49.6,1.6,3.3,47.5,1.0,1.3,75.0,65.1,0.6,1.7,1.0,524,202,55,29,26,15,24,31,+59
,Sophie CunninghamS. Cunningham,7.7,2025,IND,23,24.8,3.9,0.8,1.0,0.1,2.4,5.4,45.2,1.4,3.7,39.3,1.3,1.6,86.1,62.9,0.6,3.3,1.1,570,176,89,19,23,3,26,50,+42
,DeWanna BonnerD. Bonner,7.1,2025,IND,9,21.3,3.8,1.6,1.2,0.1,2.1,6.1,34.5,1.0,2.8,36.0,1.9,2.1,89.5,50.5,0.4,3.3,1.1,192,64,34,14,11,1,10,13,-40
,Lexie HullL. Hull,7.1,2025,IND,28,26.0,4.3,1.7,1.1,0.2,2.6,6.3,42.0,1.2,2.9,40.7,0.6,1.0,63.0,52.7,1.4,2.9,0.9,729,198,120,47,30,5,25,76,+96
,Marine JohannesM. Johannes,6.9,2025,NYL,27,18.7,2.1,1.4,0.7,0.3,2.4,5.6,44.0,1.6,4.4,37.3,0.3,0.4,81.8,59.7,0.4,1.7,1.3,504,185,56,39,18,7,35,29,+92
,Nyara SaballyN. Sabally,5.9,2025,NYL,15,19.4,4.9,0.9,0.6,1.1,2.3,4.7,49.3,0.1,0.5,14.3,1.1,1.7,68.0,53.7,1.7,3.2,1.1,291,88,74,13,9,16,16,36,+14
,Isabelle HarrisonI. Harrison,5.1,2025,NYL,24,11.1,2.8,0.7,0.7,0.0,2.0,3.9,52.1,0.1,0.4,22.2,1.0,1.3,71.9,56.9,0.9,1.8,0.8,266,123,66,16,16,1,18,32,-9
,Damiris DantasD. Dantas,5.0,2025,IND,22,12.2,2.5,0.5,0.2,0.1,1.6,4.7,34.6,0.7,2.5,29.1,1.0,1.1,87.5,47.6,0.7,1.8,0.8,268,109,55,11,5,3,18,42,-20
,Rebekah GardnerR. Gardner,3.9,2025,NYL,26,12.5,1.9,0.5,0.5,0.2,1.4,2.9,48.0,0.5,1.1,41.4,0.7,0.8,85.0,60.3,0.8,1.1,0.5,324,101,49,14,14,5,12,42,+20
,Makayla TimpsonM. Timpson,2.8,2025,IND,19,7.6,2.2,0.1,0.5,0.3,1.2,2.2,52.4,0.0,0.0,,0.5,0.8,62.5,55.1,0.7,1.5,0.3,145,54,42,1,10,5,5,18,+33
,Sydney ColsonS. Colson,2.6,2025,IND,27,14.2,0.9,2.2,0.5,0.2,1.0,2.7,36.1,0.5,1.7,28.3,0.2,0.3,85.7,47.3,0.2,0.7,1.2,383,71,24,59,14,5,32,32,-6
,Jaylyn SherrodJ. Sherrod,1.2,2025,NYL,18,5.8,0.6,0.6,0.6,0.0,0.3,1.1,30.0,0.2,0.6,27.3,0.4,0.5,77.8,45.9,0.1,0.5,0.6,104,22,11,10,10,0,11,17,-37
,Marquesha DavisM. Davis,0.9,2025,NYL,9,3.4,0.6,0.1,0.0,0.1,0.1,0.4,25.0,0.0,0.3,0.0,0.7,0.8,85.7,56.5,0.1,0.4,0.3,31,8,5,1,0,1,3,2,+2
,Brianna TurnerB. Turner,0.4,2025,IND,14,4.1,0.9,0.2,0.0,0.1,0.1,0.7,20.0,0.0,0.0,,0.1,0.1,50.0,23.0,0.3,0.6,0.4,57,5,12,3,0,1,5,7,0
